net,total_time,epoch_time,step_time,mse,inference_time,parameters,name,batch_size,learning_rate,opt,model,epochs,device,topology,device_name
[12800  6400],270.7434287071228,135.33521270751953,0.09932591644398896,0.009484003,0.038085222244262695,82585601,fully_connected_[12800  6400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[1600  800],66.83629417419434,33.400235295295715,0.02400564920334589,0.009266921,0.021080493927001953,1363201,fully_connected_[1600  800]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[1600  800],14.905436515808105,7.437090277671814,0.005095055164434971,0.009385673,0.016810894012451172,1363201,fully_connected_[1600  800]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[200 100],20.008262157440186,9.99047589302063,0.006897857162978623,0.009569549,0.011585712432861328,30401,fully_connected_[200 100]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[200 100],12.900029420852661,6.433969974517822,0.004414966080214951,0.009873831,0.013916015625,30401,fully_connected_[200 100]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[3200 1600],161.527010679245,80.73279428482056,0.05863360240782574,0.009296461,0.041620492935180664,5286401,fully_connected_[3200 1600]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[3200 1600],24.758416652679443,12.362577199935913,0.008736290949168222,0.009103506,0.016762971878051758,5286401,fully_connected_[3200 1600]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[400 200],25.27942132949829,12.626153826713562,0.008866971753019117,0.009090045,0.013924121856689453,100801,fully_connected_[400 200]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[400 200],12.938244342803955,6.453854918479919,0.004353444480197334,0.009608274,0.013623237609863281,100801,fully_connected_[400 200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[50 25],13.310981512069702,6.642176508903503,0.004633953632452549,0.010529505,0.011466503143310547,3851,fully_connected_[50 25]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[50 25],13.160063028335571,6.5653088092803955,0.004311076538030045,0.010283276,0.012294292449951172,3851,fully_connected_[50 25]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[6400 3200],535.2587847709656,267.5583118200302,0.19545437564779988,0.009422655,0.08912992477416992,20812801,fully_connected_[6400 3200]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[6400 3200],64.07409596443176,32.0165091753006,0.02318261953500601,0.00957122,0.01904129981994629,20812801,fully_connected_[6400 3200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[800 400],37.42647433280945,18.69812524318695,0.01332815191247961,0.0091431225,0.014482259750366211,361601,fully_connected_[800 400]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[800 400],13.083915948867798,6.524996042251587,0.004485612911182445,0.009471735,0.014386892318725586,361601,fully_connected_[800 400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
